@_fa,prism:url,dc:title,prism:publicationName,prism:coverDate,prism:doi
true,https://api.elsevier.com/content/abstract/scopus_id/105008792567,Integrated dynamic scheduling method for hybrid flow shop with machine preventive maintenance based on cooperative multi-agent deep reinforcement learning,Robotics and Computer Integrated Manufacturing,2026-02-01,10.1016/j.rcim.2025.103085
true,https://api.elsevier.com/content/abstract/scopus_id/105009102152,Leveraging pre-trained models for kernel machines,Pattern Recognition,2026-02-01,10.1016/j.patcog.2025.111961
true,https://api.elsevier.com/content/abstract/scopus_id/105009295596,Domain-invariant representation learning via SAM for blood cell classification,Pattern Recognition,2026-02-01,10.1016/j.patcog.2025.112000
true,https://api.elsevier.com/content/abstract/scopus_id/105009135630,Learning embedded label-specific features for partial multi-label learning,Pattern Recognition,2026-02-01,10.1016/j.patcog.2025.112005
true,https://api.elsevier.com/content/abstract/scopus_id/105007620255,Empowering natural human–robot collaboration through multimodal language models and spatial intelligence: Pathways and perspectives,Robotics and Computer Integrated Manufacturing,2026-02-01,10.1016/j.rcim.2025.103064
true,https://api.elsevier.com/content/abstract/scopus_id/105008792488,Supervised incremental feature selection using regularization vector for dynamic multi-scale interval valued datasets,Pattern Recognition,2026-02-01,10.1016/j.patcog.2025.111985
true,https://api.elsevier.com/content/abstract/scopus_id/105008154378,A green and efficient disassembly line balancing with human-robot collaboration and destructive disassembly,Robotics and Computer Integrated Manufacturing,2026-02-01,10.1016/j.rcim.2025.103081
true,https://api.elsevier.com/content/abstract/scopus_id/105007699733,Multi-omic and quantum machine learning integration for lung subtypes classification,Future Generation Computer Systems,2026-01-01,10.1016/j.future.2025.107905
true,https://api.elsevier.com/content/abstract/scopus_id/105008497772,TDML — A Trustworthy Distributed Machine Learning Framework,Future Generation Computer Systems,2026-01-01,10.1016/j.future.2025.107951
true,https://api.elsevier.com/content/abstract/scopus_id/105007525251,Evaluating a continuous feedback strategy to enhance machine learning code smell detection,Science of Computer Programming,2026-01-01,10.1016/j.scico.2025.103346
true,https://api.elsevier.com/content/abstract/scopus_id/105007138239,Universum driven adaptive robust Adaboost twin extreme learning machine imbalance learning framework for pattern classification,Signal Processing,2026-01-01,10.1016/j.sigpro.2025.110104
true,https://api.elsevier.com/content/abstract/scopus_id/105007598283,Exploring synergies: Advancing neuroscience with machine learning,Signal Processing,2026-01-01,10.1016/j.sigpro.2025.110116
true,https://api.elsevier.com/content/abstract/scopus_id/105008338768,Capacity estimation of Lithium-ion batteries through a Machine Learning approach,Mathematics and Computers in Simulation,2026-01-01,10.1016/j.matcom.2025.05.022
true,https://api.elsevier.com/content/abstract/scopus_id/105008318582,Data distribution aware clustering for parallel split learning in healthcare applications,Future Generation Computer Systems,2026-01-01,10.1016/j.future.2025.107911
true,https://api.elsevier.com/content/abstract/scopus_id/105008908203,MPGP-QOC: Multi-programming and graph-partition-based QOC for QNN inference,Future Generation Computer Systems,2026-01-01,10.1016/j.future.2025.107966
true,https://api.elsevier.com/content/abstract/scopus_id/105009148237,Federated learning framework for collaborative remaining useful life prognostics: An aircraft engine case study,Future Generation Computer Systems,2026-01-01,10.1016/j.future.2025.107945
true,https://api.elsevier.com/content/abstract/scopus_id/105007222467,Boosting endomicroscopy image recognition with contrastive learning and bag-of-words,Pattern Recognition,2026-01-01,10.1016/j.patcog.2025.111823
true,https://api.elsevier.com/content/abstract/scopus_id/105005177447,An end-to-end integration of speech separation and recognition with self-supervised learning representation,Computer Speech and Language,2026-01-01,10.1016/j.csl.2025.101813
true,https://api.elsevier.com/content/abstract/scopus_id/105009344194,Parameter-efficient Quantum Denoising Diffusion Probabilistic Models with temporal encoding,Future Generation Computer Systems,2026-01-01,10.1016/j.future.2025.107981
true,https://api.elsevier.com/content/abstract/scopus_id/105007737495,Learning transferable representations by topic guided graph adversarial network,Signal Processing,2026-01-01,10.1016/j.sigpro.2025.110118
true,https://api.elsevier.com/content/abstract/scopus_id/105008547207,RFMSU: A multivariate symmetrical uncertainty-based random forest,Pattern Recognition,2026-01-01,10.1016/j.patcog.2025.111939
true,https://api.elsevier.com/content/abstract/scopus_id/105008790707,Graph Perceiver IO: A general architecture for graph-structured data,Pattern Recognition,2026-01-01,10.1016/j.patcog.2025.111889
true,https://api.elsevier.com/content/abstract/scopus_id/105005405680,A novel graph kernel algorithm for improving the effect of text classification,Computer Speech and Language,2026-01-01,10.1016/j.csl.2025.101818
true,https://api.elsevier.com/content/abstract/scopus_id/105007060271,Instance-wise distributionally robust nonnegative matrix factorization,Pattern Recognition,2026-01-01,10.1016/j.patcog.2025.111732
true,https://api.elsevier.com/content/abstract/scopus_id/105007825325,HFA2RE: Enhancing adversarial robustness via Hyperspherical Feature Aggregation,Pattern Recognition,2026-01-01,10.1016/j.patcog.2025.111857
true,https://api.elsevier.com/content/abstract/scopus_id/105008510549,Multimodal latent emotion recognition from micro-expression and physiological signal,Pattern Recognition,2026-01-01,10.1016/j.patcog.2025.111963
true,https://api.elsevier.com/content/abstract/scopus_id/105007063401,SAEN-BGS: Energy-efficient spiking autoencoder network for background subtraction,Pattern Recognition,2026-01-01,10.1016/j.patcog.2025.111792
true,https://api.elsevier.com/content/abstract/scopus_id/105008278252,Towards explainable spoofed speech attribution and detection: A probabilistic approach for characterizing speech synthesizer components,Computer Speech and Language,2026-01-01,10.1016/j.csl.2025.101840
true,https://api.elsevier.com/content/abstract/scopus_id/105007853602,Generative attack in complex real-world scenarios,Pattern Recognition,2026-01-01,10.1016/j.patcog.2025.111893
true,https://api.elsevier.com/content/abstract/scopus_id/105005197183,Exploring features for membership inference in ASR model auditing,Computer Speech and Language,2026-01-01,10.1016/j.csl.2025.101812
true,https://api.elsevier.com/content/abstract/scopus_id/105008904609,AI-driven orchestration at scale: Estimating service metrics on national-wide testbeds,Future Generation Computer Systems,2026-01-01,10.1016/j.future.2025.107971
true,https://api.elsevier.com/content/abstract/scopus_id/105008509926,Stock investment selection via time series subpatterns and multi-relationship fusion,Pattern Recognition,2026-01-01,10.1016/j.patcog.2025.111919
true,https://api.elsevier.com/content/abstract/scopus_id/105006667184,Proficiency of Physics Informed Machine Learning in Multi-component Fault Recognition of Rotational Machines under Different Speed Conditions,International Journal of Prognostics and Health Management,2025-12-30,10.36001/ijphm.2025.v16i1.4215
true,https://api.elsevier.com/content/abstract/scopus_id/105007466022,Comparison of machine learning algorithms for predicting admission in intensive care units based on the precision nursing framework,Journal of Medical Artificial Intelligence,2025-12-30,10.21037/jmai-24-296
true,https://api.elsevier.com/content/abstract/scopus_id/105007454927,Deploy your own machine learning model with no coding expertise: resident perspective,Journal of Medical Artificial Intelligence,2025-12-30,10.21037/jmai-24-448
true,https://api.elsevier.com/content/abstract/scopus_id/105007473502,A comparative study of machine learning algorithms for breast cancer diagnosis,Journal of Medical Artificial Intelligence,2025-12-30,10.21037/jmai-24-368
true,https://api.elsevier.com/content/abstract/scopus_id/105007477344,Machine learning approaches for DAS28 score prediction after rituximab treatment in rheumatoid arthritis patients,Journal of Medical Artificial Intelligence,2025-12-30,10.21037/jmai-24-288
true,https://api.elsevier.com/content/abstract/scopus_id/105007448798,A data-driven analysis of maternal health risk indicators using machine learning techniques,Journal of Medical Artificial Intelligence,2025-12-30,10.21037/jmai-24-332
true,https://api.elsevier.com/content/abstract/scopus_id/105007474838,Prediction of stroke in symptomatic carotid stenosis using machine learning and its implications on clinical trial enrichment,Journal of Medical Artificial Intelligence,2025-12-30,10.21037/jmai-24-197
true,https://api.elsevier.com/content/abstract/scopus_id/105007463225,Recent trends in prediction of chronic kidney disease using different learning approaches: a systematic literature review,Journal of Medical Artificial Intelligence,2025-12-30,10.21037/jmai-24-256
true,https://api.elsevier.com/content/abstract/scopus_id/105007452072,Pediatric pneumonia X-ray image classification: predictive model development with DenseNet-169 transfer learning,Journal of Medical Artificial Intelligence,2025-12-30,10.21037/jmai-24-356
true,https://api.elsevier.com/content/abstract/scopus_id/105007475944,Artificial intelligence in the diagnosis and prevention of multi-stage colorectal cancer: potential algorithmic bias and systematic mitigation,Journal of Medical Artificial Intelligence,2025-12-30,10.21037/jmai-24-169
true,https://api.elsevier.com/content/abstract/scopus_id/105007453118,Artificial intelligence in medical image analysis and molecular diagnostics: recent advances and applications,Journal of Medical Artificial Intelligence,2025-12-30,10.21037/jmai-24-412
true,https://api.elsevier.com/content/abstract/scopus_id/105007446380,Development and validation of SXI++ large numerical model (LNM) algorithm for sepsis prediction,Journal of Medical Artificial Intelligence,2025-12-30,10.21037/jmai-24-393
true,https://api.elsevier.com/content/abstract/scopus_id/105007462046,Use of artificial intelligence for detection and managing atrial fibrillation—narrative review of the current literature,Journal of Medical Artificial Intelligence,2025-12-30,10.21037/jmai-24-278
true,https://api.elsevier.com/content/abstract/scopus_id/105007471858,Overcoming adoption challenges: bridging the gap between artificial intelligence algorithm development and implementation in healthcare,Journal of Medical Artificial Intelligence,2025-12-30,10.21037/jmai-24-385
true,https://api.elsevier.com/content/abstract/scopus_id/105007453612,Potential for the development of customized color cosmetics using artificial intelligence digital slide scanner exclusively for dermatology: a scoping review,Journal of Medical Artificial Intelligence,2025-12-30,10.21037/jmai-24-372
true,https://api.elsevier.com/content/abstract/scopus_id/105007452094,A predictive tool to forecast the Model for End-Stage Liver Disease score: the “MELDPredict” tool,Journal of Medical Artificial Intelligence,2025-12-30,10.21037/jmai-24-277
true,https://api.elsevier.com/content/abstract/scopus_id/105006987619,Review of Josh Simons’ Book “Algorithms for the People – Democracy in the Age of AI”,Triplec,2025-12-29,10.31269/triplec.v23i1.1617
true,https://api.elsevier.com/content/abstract/scopus_id/105009332840,A robust machine learning framework for stock market classification,Expert Systems with Applications,2025-12-15,10.1016/j.eswa.2025.128573
